File,NC_B,Time (ms),Pressure (MPa)
59_1_avg,710,0.7,0.0371
59_1_avg,710,1.23,7.6751
59_1_avg,710,11.04,54.4668
59_1_avg,710,38.0,45.869
59_2_avg,750,0.68,0.0314
59_2_avg,750,1.35,8.0037
59_2_avg,750,10.68,57.2399
59_2_avg,750,38.0,48.0993
59_3_avg,775,0.7,0.0373
59_3_avg,775,1.22,8.2587
59_3_avg,775,10.36,60.34
59_3_avg,775,38.0,50.8858
59_4_avg,810,0.68,0.0209
59_4_avg,810,1.27,8.7913
59_4_avg,810,9.87,63.4101
59_4_avg,810,38.0,53.0516
59_5_avg,840,0.71,0.0625
59_5_avg,840,1.31,8.9063
59_5_avg,840,9.84,66.1557
59_5_avg,840,38.0,55.066
59_avg,870,0.56,0.0217
59_avg,870,1.22,10.3443
59_avg,870,8.92,68.2883
59_avg,870,38.0,53.5823
